open_price_xbt,open_price_eth
2494.603,284.6527
2520.57,284.99991
2505.838,284.99086
2526.51,286.56787
2545.462,291.4
2577.999,300.00001
2544.588,293.73
2541.16,296.50001
2527.418,293.50104
2542.206,299.5011
2533.15,296.98999
2550.001,305.0
2594.99,317.77
2594.021,322.13032
2566.0,317.47345
2554.014,316.2
2548.978,314.33002
2561.58,317.4153
2554.895,315.99988
2569.494,317.89866
2567.151,319.92273
2553.912,318.00002
2562.29,318.55
2563.379,316.3
2570.663,308.00019
2565.001,302.0
2532.378,295.5
2530.628,302.13683
2499.0,296.63258
2521.01,302.50004
2540.0,298.20036
2553.997,301.10038
2558.401,301.9783
2557.3,308.0
2554.588,303.90011
2552.702,300.00001
2549.54,301.8
2549.38,299.50011
2544.467,298.35277
2526.074,292.8
2538.071,295.49997
2525.968,289.5
2520.388,287.00001
2513.55,288.8123
2515.427,288.99999
2499.979,288.89
2509.083,292.487
2497.0,289.5
2509.16,295.00007
2501.899,294.49014
2523.44,301.4001
2532.98,304.0
2510.489,295.67714
2497.224,290.5674
2503.259,294.0
2518.99,294.75712
2516.266,293.75001
2524.0,294.98
2520.0,291.39979
2497.009,287.0
2501.271,285.05414
2465.247,273.99726
2438.222,270.70003
2443.36,280.9999
2456.49,277.1
2438.0,272.84478
2435.995,274.48989
2424.0,270.49715
2438.664,272.49
2444.198,266.2
2468.821,264.0
2480.434,268.77702
2492.975,272.65527
2486.113,279.62201
2491.932,278.0985
2494.847,273.00548
2477.231,273.97237
2444.447,267.79989
2442.793,264.49994
2457.829,271.43897
2456.429,267.34964
2440.656,262.91005
2407.95,255.90684
2417.876,256.93599
2370.0,251.99748
2380.277,252.0
2388.435,260.0
2393.0,258.00047
2362.229,256.19999
2380.0,258.005
2367.599,250.99498
2386.002,254.86968
2378.958,253.9449
2410.998,259.49981
2393.078,257.10396
2417.997,264.4
2432.0,271.0
2421.999,264.89996
2404.175,260.77
2411.697,263.25012
2404.383,260.35357
2405.169,259.59999
2409.346,259.87996
2433.0,263.211
2455.607,268.65976
2470.009,277.0
2475.38,277.02003
2482.939,279.99925
2488.595,281.0
2519.438,292.2
2509.996,286.0
2500.911,283.50021
2494.03,283.0
2503.812,278.1001
2485.399,279.8999
2474.691,277.4
2492.619,281.07557
2498.81,280.67945
2499.217,277.40458
2480.98,274.46005
2471.722,273.8233
2479.937,273.42035
2482.857,277.0
2498.039,276.1001
2516.977,276.00012
2572.787,284.5
2551.196,280.10015
2567.971,280.99998
2552.278,281.00027
2546.558,280.99988
2530.24,277.51001
2543.937,279.23684
2564.105,279.5
2568.27,280.03
2563.015,278.387
2546.73,276.10003
2573.87,278.5846
2579.999,280.37994
2606.001,281.64781
2613.963,278.8425
2620.151,280.00479
2627.002,282.483
2627.26,281.78412
2633.294,282.01297
2610.171,284.29998
2613.719,283.2
2602.411,283.39908
2611.79,281.8502
2616.895,281.99718
2619.97,278.2002
2612.328,276.657
2584.101,272.1
2561.835,267.39339
2580.871,269.99998
2574.196,272.39996
2554.916,268.0001
2562.2,268.924
2573.44,270.49988
2581.999,267.67341
2597.708,268.4
2567.024,265.99984
2565.01,266.74999
2562.442,267.01
2557.357,269.34922
2551.999,268.74403
2560.0,268.59145
2552.977,267.01002
2539.288,262.9
2558.246,264.0
2555.776,261.60002
2552.0,259.69993
2555.9,263.0
2554.842,261.99787
2569.625,258.67642
2576.95,255.63999
2578.0,257.05012
2578.911,256.79973
2594.0,262.0
2609.51,273.86775
2620.833,269.91966
2614.96,265.01
2609.998,267.35022
2612.708,265.98
2610.74,265.12
2602.922,263.08257
2595.0,262.00476
2610.026,263.50001
2610.448,266.00003
2603.521,264.83637
2595.005,263.7278
2597.266,268.12668
2609.213,271.34744
2610.831,275.99982
2583.665,270.13006
2593.2,272.43
2596.0,271.89873
2597.535,266.99732
2594.89,266.82176
2590.001,266.29987
2589.252,266.86691
2594.78,265.0
2600.36,265.19987
2594.409,262.99991
2597.298,263.3
2598.31,264.30002
2600.0,262.00226
2606.191,265.799
2606.8,266.48999
2608.545,265.678
2598.907,266.3745
2587.358,264.135
2594.541,265.84999
2588.847,266.99664
2596.456,266.6984
2581.06,263.134
2574.008,259.97999
2567.999,260.1384
2566.38,258.60264
2573.16,259.47747
2547.262,253.50001
2530.446,250.29999
2505.229,242.62
2501.751,246.4
2519.999,243.9996
2519.12,246.13421
2534.031,251.7
2520.31,247.11
2525.751,246.85032
2510.0,245.0
2499.001,243.0
2472.001,237.15816
2506.928,240.8333
2494.003,238.49699
2480.237,234.0
2482.1,234.0001
2497.09,240.77538
2509.004,244.98665
2508.277,242.12202
2495.0,241.2643
2484.19,238.99998
2495.533,238.5001
2498.25,237.10027
2506.853,237.99999
2497.86,236.74587
2507.851,239.99999
2518.916,242.0
2529.725,245.0
2526.011,246.0
2518.28,242.58994
2513.44,239.49997
2530.023,242.0
2526.301,242.45918
2529.253,241.00031
2529.283,241.49992
2542.017,241.1
2547.017,244.99999
2545.077,243.55491
2547.998,245.49998
2544.28,245.18276
2553.827,247.489
2547.605,247.15147
2544.705,247.11897
2539.231,247.99
